                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.29934,                0.35127,                0.96984,                0.90852,                 0.9403,                0.95953,                0.89821,                0.40419,                0.32272,                 1.0462,             0.00039264,             0.00039264,             0.00039264
                     91,                 0.2255,                0.16083,                0.91222,                0.88675,                0.94856,                0.95691,                0.89614,                0.40403,                0.32676,                 1.0477,             0.00034227,             0.00034227,             0.00034227
                     92,                0.21977,                0.14506,                0.90445,                0.88265,                0.95227,                0.95163,                0.89081,                0.40242,                0.33465,                 1.0444,             0.00029655,             0.00029655,             0.00029655
                     93,                0.21905,                0.13936,                0.90309,                0.90056,                0.93854,                0.95477,                0.89399,                0.40338,                0.33395,                 1.0451,             0.00025551,             0.00025551,             0.00025551
                     94,                 0.2175,                0.13776,                0.89482,                0.90707,                0.93982,                0.95623,                0.89434,                0.40564,                0.33684,                 1.0478,             0.00021921,             0.00021921,             0.00021921
                     95,                0.21513,                0.13592,                 0.8976,                0.92276,                0.93228,                 0.9586,                0.89876,                0.40297,                0.33079,                 1.0462,             0.00018768,             0.00018768,             0.00018768
                     96,                0.21435,                0.13681,                0.90575,                0.92115,                0.93464,                0.96042,                 0.9009,                0.40319,                0.31851,                 1.0457,             0.00016094,             0.00016094,             0.00016094
                     97,                0.21651,                0.13349,                0.90402,                0.91494,                0.94344,                 0.9582,                 0.8981,                0.40227,                0.32202,                 1.0438,             0.00013903,             0.00013903,             0.00013903
                     98,                0.21335,                 0.1327,                0.89721,                0.91286,                0.93789,                0.95502,                0.89591,                0.39892,                0.33156,                 1.0401,             0.00012197,             0.00012197,             0.00012197
                     99,                0.21368,                0.13368,                 0.8968,                0.91185,                0.94177,                0.95586,                0.89753,                0.40167,                0.32992,                  1.045,             0.00010977,             0.00010977,             0.00010977
                    100,                0.21319,                0.13174,                0.89833,                0.91671,                0.93228,                0.95673,                0.89939,                0.39812,                0.32724,                 1.0406,             0.00010244,             0.00010244,             0.00010244
